"week_start_date","avg_tmax","n_days"
2011-05-27,93.4285714285714,7
2011-06-03,96.1428571428571,7
2011-06-10,97.8571428571429,7
2011-06-17,100.285714285714,7
2011-06-24,104.571428571429,7
2011-07-01,97,7
2011-07-08,92.2857142857143,7
2011-07-15,97.5714285714286,7
2011-07-22,91.4285714285714,7
2011-07-29,96.7142857142857,7
2011-08-05,90.2857142857143,7
2011-08-12,90.7142857142857,7
2011-08-19,96.8571428571429,7
2011-08-26,101.428571428571,7
2011-09-02,96.8571428571429,7
2011-09-09,88.4285714285714,7
2011-09-16,91.1428571428571,7
2011-09-23,92.1428571428571,7
2011-09-30,85.4285714285714,7
2011-10-07,81.8571428571429,7
2011-10-14,91.1428571428571,7
2011-10-21,83.7142857142857,7
2011-10-28,82.5714285714286,7
2011-11-04,65,7
2011-11-11,67.7142857142857,7
2011-11-18,69.8571428571429,7
2011-11-25,71,7
2011-12-02,55,7
2011-12-09,59.2857142857143,7
2011-12-16,55.7142857142857,7
2011-12-23,63.2857142857143,7
2011-12-30,76.8571428571429,7
2012-01-06,64.7142857142857,7
2012-01-13,67.7142857142857,7
2012-01-20,67.8571428571429,7
2012-01-27,71.2857142857143,7
2012-02-03,68.1428571428571,7
2012-02-10,64.5714285714286,7
2012-02-17,65.7142857142857,7
2012-02-24,72.5,6
2012-03-02,72,7
2012-03-09,74.1428571428571,7
2012-03-16,67.1428571428571,7
2012-03-23,81.2857142857143,7
2012-03-30,78.2857142857143,7
2012-04-06,82,7
2012-04-13,77.2857142857143,7
2012-04-20,91.1428571428571,7
2012-04-27,86.1428571428571,7
2012-05-04,84.5714285714286,7
2012-05-11,94,7
2012-05-18,95.2857142857143,7
2012-05-25,90.8571428571429,7
2012-06-01,97.1428571428571,7
2012-06-08,97.4285714285714,7
2012-06-15,99.8571428571429,7
2012-06-22,100,7
2012-06-29,92.8571428571429,7
2012-07-06,95.4285714285714,7
2012-07-13,89.4285714285714,7
2012-07-20,88.7142857142857,7
2012-07-27,89.5,6
2012-08-03,96.8571428571429,7
2012-08-10,95.8571428571429,7
2012-08-17,87,7
2012-08-24,93.4285714285714,7
2012-08-31,91.4285714285714,7
2012-09-07,84.8571428571429,7
2012-09-14,88.2857142857143,7
2012-09-21,91.1428571428571,7
2012-09-28,89.1428571428571,7
2012-10-05,85.8571428571429,7
2012-10-12,82.8571428571429,7
2012-10-19,83,7
2012-10-26,84.8571428571429,7
2012-11-02,83,7
2012-11-09,70.7142857142857,7
2012-11-16,75.2857142857143,7
2012-11-23,77.2857142857143,7
2012-11-30,77.1428571428571,7
2012-12-07,64.6,5
2012-12-14,58.4285714285714,7
2012-12-21,63,7
2012-12-28,55.7142857142857,7
2013-01-04,61.5714285714286,7
2013-01-11,51,7
2013-01-18,74.4285714285714,7
2013-01-25,60.2857142857143,7
2013-02-01,69.4285714285714,7
2013-02-08,56,7
2013-02-15,62.8571428571429,7
2013-02-22,60.5714285714286,7
2013-03-01,76.1428571428571,7
2013-03-08,71.8571428571429,7
2013-03-15,80.8571428571429,7
2013-03-22,77.7142857142857,7
2013-03-29,80.2857142857143,7
2013-04-05,75.8571428571429,7
2013-04-12,76.4285714285714,7
2013-04-19,83.5714285714286,7
2013-04-26,87.8571428571429,7
2013-05-03,81.5714285714286,7
2013-05-10,88.5714285714286,7
2013-05-17,89.7142857142857,7
2013-05-24,90.7142857142857,7
2013-05-31,98,7
2013-06-07,101.857142857143,7
2013-06-14,99.1428571428571,7
2013-06-21,98.2857142857143,7
2013-06-28,100.714285714286,7
2013-07-05,93.8571428571429,7
2013-07-12,91.2857142857143,7
2013-07-19,84.5714285714286,7
2013-07-26,92.2857142857143,7
2013-08-02,89,7
2013-08-09,94.8571428571429,7
2013-08-16,96.8571428571429,7
2013-08-23,89.2857142857143,7
2013-08-30,92.8571428571429,7
2013-09-06,85.4285714285714,7
2013-09-13,93.8571428571429,7
2013-09-20,89.4285714285714,7
2013-09-27,85.7142857142857,7
2013-10-04,82.2857142857143,7
2013-10-11,79.7142857142857,7
2013-10-18,83.2857142857143,7
2013-10-25,79.8333333333333,6
2013-11-01,76.2857142857143,7
2013-11-08,81,7
2013-11-15,73.8571428571429,7
2013-11-22,62.1428571428571,7
2013-11-29,67.2857142857143,7
2013-12-06,61.2857142857143,7
2013-12-13,70.8571428571429,7
2013-12-20,60.2857142857143,7
2013-12-27,67.1428571428571,7
2014-01-03,67.2857142857143,7
2014-01-10,71.2857142857143,7
2014-01-17,74.4285714285714,7
2014-01-24,69.8571428571429,7
2014-01-31,60.2857142857143,7
2014-02-07,73.4285714285714,7
2014-02-14,80.8571428571429,7
